nupdates,value_loss,policy_entropy,fps,total_timesteps,explained_variance
35900,0.01549560111016035,2.721860408782959,658,718000,0.9875993626192212
36000,0.004929403308779001,2.4447944164276123,658,720000,0.9901888836175203
36100,0.006240108981728554,2.797851800918579,658,722000,0.995418197941035
36200,0.044247373938560486,2.5011210441589355,658,724000,0.8178081512451172
36300,0.005453209392726421,2.4713759422302246,658,726000,0.9958325284533203
36400,0.0004917545011267066,2.884855031967163,658,728000,0.8850909471511841
36500,0.014965957030653954,2.5618832111358643,658,730000,0.9632661230862141
36600,0.03327386453747749,2.8321757316589355,658,732000,0.36164164543151855
36700,0.016314398497343063,2.2296829223632812,658,734000,0.9951345771551132
36800,0.0148690864443779,2.7277019023895264,658,736000,0.9832601584494114
36900,0.008829786442220211,2.8633980751037598,658,738000,0.49630284309387207
37000,0.06423573195934296,2.8103044033050537,658,740000,0.9022449553012848
37100,0.002818698063492775,2.621735095977783,658,742000,0.9984988054493442
37200,0.0026055029593408108,2.5855295658111572,659,744000,0.9989752838155255
37300,0.01417174469679594,2.7364373207092285,659,746000,0.8863391801714897
37400,0.005492095835506916,2.5872509479522705,659,748000,0.9950650143437088
37500,0.0007778286817483604,2.8353312015533447,659,750000,0.9996483493305277
37600,0.02361253835260868,1.8629001379013062,659,752000,0.8615830093622208
37700,0.011374310590326786,2.840569257736206,659,754000,0.9020012393593788
37800,0.0046252598986029625,2.590343713760376,659,756000,0.9985356907127425
37900,0.0017553877551108599,2.642932891845703,659,758000,0.9989906364353374
38000,0.016294723376631737,2.7092156410217285,659,760000,0.986183961853385
38100,0.00760685047134757,2.402656078338623,659,762000,0.9963215026073158
38200,0.018957655876874924,2.6713485717773438,659,764000,0.989802067168057
38300,0.006970696151256561,2.524099826812744,659,766000,0.9963431833311915
38400,0.001748389913700521,1.7842881679534912,659,768000,0.9989726517815143
38500,0.004887507297098637,2.5528712272644043,659,770000,0.9973627300933003
38600,0.014282953925430775,2.596269130706787,659,772000,0.9847992761060596
38700,0.0014959033578634262,2.872232437133789,659,774000,0.9505728892982006
38800,0.0002000518434215337,2.8566226959228516,659,776000,0.9995007804827765
38900,0.08224526047706604,2.8538639545440674,659,778000,0.9276301637291908
39000,0.00489452900364995,2.5591299533843994,659,780000,0.9972051868680865
39100,0.006246251054108143,2.7470529079437256,659,782000,0.9948395257815719
39200,0.00160335679538548,2.719650983810425,659,784000,0.9992627686588094
39300,0.01985028013586998,2.5345394611358643,659,786000,0.9766766782850027
39400,0.0072398618794977665,2.602226734161377,659,788000,0.9957746900618076
