total_timesteps,explained_variance,policy_entropy,value_loss,nupdates,fps
134000,0.9929685816168785,1.743091106414795,4.926518886350095e-05,33500,446
134400,0.9245429486036301,1.7359519004821777,6.392607610905543e-05,33600,446
134800,0.9180185943841934,1.750436544418335,6.553458661073819e-05,33700,446
135200,0.9973523456137627,1.727721929550171,5.740833512390964e-05,33800,446
135600,0.9996266869129613,1.7338556051254272,6.294027843978256e-05,33900,446
136000,0.8965429216623306,1.7252702713012695,6.838694389443845e-05,34000,446
136400,0.00012809038162231445,1.7239720821380615,0.12740078568458557,34100,446
136800,0.00013494491577148438,1.7406740188598633,0.1229352280497551,34200,446
137200,0.9330058321356773,1.7495222091674805,4.490322316996753e-05,34300,446
137600,6.896257400512695e-05,1.753960132598877,0.12734709680080414,34400,446
138000,0.0002372264862060547,1.7606492042541504,0.1226511150598526,34500,446
138400,0.938464030623436,1.775242805480957,5.071624036645517e-05,34600,446
138800,0.8930158466100693,1.776515245437622,5.713024802389555e-05,34700,446
139200,0.6951871812343597,1.7815732955932617,4.286927287466824e-05,34800,446
139600,0.9823830369859934,1.7829649448394775,5.312169741955586e-05,34900,446
140000,0.9720497075468302,1.7889658212661743,6.050989031791687e-05,35000,446
140400,0.8448405563831329,1.7872518301010132,5.451908509712666e-05,35100,446
140800,0.00010502338409423828,1.782450556755066,0.12258858233690262,35200,446
141200,0.7183190584182739,1.7813599109649658,6.063092587282881e-05,35300,446
141600,0.9326212555170059,1.7759182453155518,6.59099969197996e-05,35400,446
142000,0.998721792246215,1.7816245555877686,6.169828702695668e-05,35500,446
142400,0.5843029320240021,1.7805895805358887,7.447275129379705e-05,35600,446
142800,0.9934192970395088,1.7779567241668701,7.512361480621621e-05,35700,446
143200,0.995370612014085,1.779768466949463,6.47355045657605e-05,35800,446
143600,0.9247979819774628,1.782659649848938,6.963676423765719e-05,35900,446
144000,0.48826688528060913,1.78208589553833,5.653472908306867e-05,36000,446
144400,0.800464317202568,1.7846003770828247,5.519438855117187e-05,36100,446
144800,0.9848544094711542,1.7888944149017334,5.245254942565225e-05,36200,445
145200,0.00022083520889282227,1.7825977802276611,0.12248256802558899,36300,445
145600,0.9010860696434975,1.7865839004516602,4.325494228396565e-05,36400,445
146000,0.0007464885711669922,1.7884483337402344,0.24589306116104126,36500,445
146400,0.5796884298324585,1.7795350551605225,3.271391324233264e-05,36600,445
146800,0.00023853778839111328,1.7822152376174927,0.12306050211191177,36700,445
147200,0.8027706742286682,1.7881815433502197,3.9205064240377396e-05,36800,445
147600,0.9978062273003161,1.7841593027114868,4.5350843720370904e-05,36900,445
148000,0.9570686854422092,1.784414291381836,4.6978715545265004e-05,37000,445
148400,0.9946826244704425,1.7797820568084717,5.571454676100984e-05,37100,445
148800,0.8021836280822754,1.7799217700958252,4.904853994958103e-05,37200,445
149200,0.6795381903648376,1.7810441255569458,3.3780845114961267e-05,37300,445
